c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4989 0.0021
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4988 0.0009
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4991 0.0008
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4988 0.0007
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4993 0.0008
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4996 0.0002
0.1 0.1 0.01 100 0 0.1 1000 500 0.3496 0.1079
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4415 0.0801
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4752 0.1022
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4962 0.0525
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4983 0.0307
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4958 0.0193
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4978 0.0266
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4977 0.0311
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4993 0.0158
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4982 0.0283
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4882 0.0033
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4967 0.0015
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4954 0.0009
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4973 0.0006
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4995 0.0005
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4998 0.0006
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4998 0.0001
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4999 0.0001
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4999 0.0001
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4999 0.0001
0.1 0.1 0.01 100 0 0.1 1000 500 0.3564 0.1875
0.1 0.1 0.01 100 0 0.1 1000 1000 0.3348 0.0875
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4615 0.0878
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4619 0.0931
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4816 0.0485
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4779 0.0548
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4753 0.0078
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4873 0.0029
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4956 0.0018
0.1 0.1 0.01 100 0 0.1 1000 5000 0.496 0.0012
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4981 0.002
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4982 0.0014
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4987 0.0012
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4983 0.0009
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4987 0.0019
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4993 0.0038
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4989 0.0032
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4986 0.0051
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4969 0.0037
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4967 0.0037
0.1 0.1 0.01 100 0 0.1 1000 500 0.404 0.1108
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4673 0.0522
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4594 0.0234
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4727 0.011
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4819 0.0117
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4894 0.0154
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4895 0.0121
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4855 0.0097
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4878 0.0145
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4898 0.0215
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4942 0.0261
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4945 0.0251
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4945 0.0177
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4937 0.0256
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4916 0.0256
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4964 0.0247
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4971 0.0151
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4979 0.0218
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4976 0.0224
0.1 0.1 0.01 100 0 0.1 1000 10000 0.497 0.0058
0.1 0.1 0.01 100 0 0.1 1000 500 0.3262 0.1064
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4044 0.1037
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4493 0.0479
0.1 0.1 0.01 100 0 0.1 1000 2000 0.471 0.039
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4911 0.0343
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4961 0.0224
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4945 0.0134
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4988 0.0095
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4993 0.0078
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4994 0.0069
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4997 0.017
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4988 0.0102
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4965 0.0075
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4993 0.0122
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4984 0.0026
0.1 0.1 0.01 100 0 0.1 1000 8000 0.498 0.0007
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4976 0.0011
0.1 0.1 0.01 100 0 0.1 1000 9000 0.498 0.0021
0.1 0.1 0.01 100 0 0.1 1000 9500 0.499 0.0038
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4995 0.0038
0.1 0.1 0.01 100 0 0.1 1000 500 0.3272 0.131
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4339 0.0579
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4742 0.0301
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4778 0.0163
0.1 0.1 0.01 100 0 0.1 1000 2500 0.461 0.0259
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4799 0.0091
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4742 0.0092
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4798 0.0093
0.1 0.1 0.01 100 0 0.1 1000 4500 0.488 0.0052
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4804 0.0174
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4834 0.0113
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4904 0.0121
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4945 0.0057
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4949 0.0054
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4964 0.0018
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4946 0.0013
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4863 0.0005
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4926 0.0005
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4935 0.0009
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4938 0.0004
0.1 0.1 0.01 100 0 0.1 1000 500 0.4039 0.1287
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4497 0.1019
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4484 0.0444
0.1 0.1 0.01 100 0 0.1 1000 2000 0.465 0.0243
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4709 0.0236
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4892 0.0199
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4903 0.0108
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4883 0.0103
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4925 0.0071
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4945 0.0069
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4952 0.0075
0.1 0.1 0.01 100 0 0.1 1000 6000 0.498 0.0102
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4989 0.0058
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4988 0.0066
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4991 0.0027
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4993 0.0018
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4996 0.0026
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4995 0.0014
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4996 0.001
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4997 0.001
0.1 0.1 0.01 100 0 0.1 1000 500 0.3371 0.1364
0.1 0.1 0.01 100 0 0.1 1000 1000 0.439 0.0874
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4439 0.0326
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4663 0.0275
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4865 0.0229
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4904 0.0269
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4942 0.0081
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4897 0.0056
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4903 0.0063
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4947 0.0048
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4946 0.0064
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4955 0.0109
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4969 0.0057
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4912 0.0053
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4839 0.0037
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4895 0.003
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4941 0.0065
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4948 0.006
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4921 0.0039
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4913 0.0039
0.1 0.1 0.01 100 0 0.1 1000 500 0.3356 0.2678
0.1 0.1 0.01 100 0 0.1 1000 1000 0.3319 0.1856
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4381 0.0885
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4695 0.0505
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4765 0.0333
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4886 0.0133
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4901 0.0157
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4913 0.0158
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4873 0.0133
0.1 0.1 0.01 100 0 0.1 1000 5000 0.482 0.0267
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4844 0.0225
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4772 0.0334
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4902 0.0243
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4963 0.0132
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4958 0.0169
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4967 0.0173
