c s2M s2V K N T kf km
0.1 0.1 0.01 100.0 500 4000 0.4971 0.0581
0.1 0.1 0.01 100.0 500 4500 0.4961 0.0922
0.1 0.1 0.01 100.0 500 5000 0.4963 0.148
0.1 0.1 0.01 100.0 500 5500 0.4939 0.061
0.1 0.1 0.01 100.0 500 6000 0.4926 0.0814
0.1 0.1 0.01 100.0 500 6500 0.4972 0.0507
0.1 0.1 0.01 100.0 500 7000 0.4961 0.0792
0.1 0.1 0.01 100.0 500 7500 0.4965 0.0449
0.1 0.1 0.01 100.0 500 8000 0.4945 0.0211
0.1 0.1 0.01 100.0 500 8500 0.4929 0.0453
0.1 0.1 0.01 100.0 500 9000 0.4863 0.1404
0.1 0.1 0.01 100.0 500 9500 0.49 0.203
0.1 0.1 0.01 100.0 500 10000 0.4927 0.1083
0.1 0.1 0.01 100.0 500 500 0.3466 0.2562
0.1 0.1 0.01 100.0 500 1000 0.4115 0.257
0.1 0.1 0.01 100.0 500 1500 0.4641 0.1525
0.1 0.1 0.01 100.0 500 2000 0.4786 0.1819
0.1 0.1 0.01 100.0 500 2500 0.4726 0.0965
0.1 0.1 0.01 100.0 500 3000 0.4862 0.086
0.1 0.1 0.01 100.0 500 3500 0.4904 0.0647
0.1 0.1 0.01 100.0 500 4000 0.4945 0.0469
0.1 0.1 0.01 100.0 500 4500 0.4861 0.036
0.1 0.1 0.01 100.0 500 5000 0.4925 0.0174
0.1 0.1 0.01 100.0 500 5500 0.4917 0.0105
0.1 0.1 0.01 100.0 500 6000 0.4933 0.0148
0.1 0.1 0.01 100.0 500 6500 0.4925 0.0098
0.1 0.1 0.01 100.0 500 7000 0.4836 0.0108
0.1 0.1 0.01 100.0 500 7500 0.479 0.006
0.1 0.1 0.01 100.0 500 8000 0.486 0.0089
0.1 0.1 0.01 100.0 500 8500 0.4835 0.0062
0.1 0.1 0.01 100.0 500 9000 0.4888 0.0083
0.1 0.1 0.01 100.0 500 9500 0.493 0.0027
0.1 0.1 0.01 100.0 500 10000 0.4906 0.0055
0.1 0.1 0.01 100.0 500 500 0.2101 0.1667
0.1 0.1 0.01 100.0 500 1000 0.2273 0.0935
0.1 0.1 0.01 100.0 500 1500 0.4275 0.0743
0.1 0.1 0.01 100.0 500 2000 0.4651 0.0429
0.1 0.1 0.01 100.0 500 2500 0.436 0.0448
0.1 0.1 0.01 100.0 500 3000 0.4735 0.0084
0.1 0.1 0.01 100.0 500 3500 0.4777 0.0099
0.1 0.1 0.01 100.0 500 4000 0.4745 0.0091
0.1 0.1 0.01 100.0 500 4500 0.4724 0.016
0.1 0.1 0.01 100.0 500 5000 0.4842 0.024
0.1 0.1 0.01 100.0 500 5500 0.4887 0.1158
0.1 0.1 0.01 100.0 500 6000 0.4845 0.0777
0.1 0.1 0.01 100.0 500 6500 0.4928 0.0752
